ID,Title,Content,Excerpt,Date,"Post Type",Permalink,"Attribute Name (Collar type)","Attribute Value (Collar type)","Attribute In Variations (Collar type)","Attribute Is Visible (Collar type)","Attribute Is Taxonomy (Collar type)","Attribute Position (Collar type)","Product Brands","WPML Translation ID","Attribute Name (Collection name)","Attribute Value (Collection name)","Attribute In Variations (Collection name)","Attribute Is Visible (Collection name)","Attribute Is Taxonomy (Collection name)","Attribute Position (Collection name)","WPML Translation Title","WPML Language Code","Product categories","Attribute Name (color)","Attribute Value (color)","Attribute In Variations (color)","Attribute Is Visible (color)","Attribute Is Taxonomy (color)","Attribute Position (color)","Attribute Name (Consignment)","Attribute Value (Consignment)","Attribute In Variations (Consignment)","Attribute Is Visible (Consignment)","Attribute Is Taxonomy (Consignment)","Attribute Position (Consignment)","Attribute Name (generation)","Attribute Value (generation)","Attribute In Variations (generation)","Attribute Is Visible (generation)","Attribute Is Taxonomy (generation)","Attribute Position (generation)","Attribute Name (Item type)","Attribute Value (Item type)","Attribute In Variations (Item type)","Attribute Is Visible (Item type)","Attribute Is Taxonomy (Item type)","Attribute Position (Item type)","Attribute Name (Placket shape)","Attribute Value (Placket shape)","Attribute In Variations (Placket shape)","Attribute Is Visible (Placket shape)","Attribute Is Taxonomy (Placket shape)","Attribute Position (Placket shape)","Attribute Name (Placket tpe)","Attribute Value (Placket tpe)","Attribute In Variations (Placket tpe)","Attribute Is Visible (Placket tpe)","Attribute Is Taxonomy (Placket tpe)","Attribute Position (Placket tpe)","Attribute Name (Pocket shape)","Attribute Value (Pocket shape)","Attribute In Variations (Pocket shape)","Attribute Is Visible (Pocket shape)","Attribute Is Taxonomy (Pocket shape)","Attribute Position (Pocket shape)","Attribute Name (Prime style)","Attribute Value (Prime style)","Attribute In Variations (Prime style)","Attribute Is Visible (Prime style)","Attribute Is Taxonomy (Prime style)","Attribute Position (Prime style)","Attribute Name (size)","Attribute Value (size)","Attribute In Variations (size)","Attribute Is Visible (size)","Attribute Is Taxonomy (size)","Attribute Position (size)","Attribute Name (Sleeves type)","Attribute Value (Sleeves type)","Attribute In Variations (Sleeves type)","Attribute Is Visible (Sleeves type)","Attribute Is Taxonomy (Sleeves type)","Attribute Position (Sleeves type)","Regular Price","Sale Price"
12125,"ريثوب موديل 2196 جينز أزرق اللون","<p>تعتبر عمليات الغسيل ذات درجة الحرارة المنخفضة ودورات العصر الدقيقة ألطف على الملابس ، مما يساعد في الحفاظ على لون النسيج وشكله وبنيته. في نفس الوقت يقلل من استهلاك الطاقة المستخدمة في عمليات الرعاية.</p><ul>
 	<li><strong>ترتدي العارضة</strong> : UK 10 / EU 38 / US 6</li>
 	<li><strong>المناسبة</strong> : نمط الحياة والرياضة</li>
 	<li><strong>دولة</strong> : ايطاليا</li>
</ul><ul><li><strong>الجزء الخارجي</strong> : جلد 100٪ ، بولي أميد 100٪</li><li><strong>البطانة</strong> : بوليستر 100٪</li><li><strong>CounSoletry</strong> : مطاط 100٪</li></ul>","مصمم للبساطة ومصنوع من مواد عالية الجودة. تخلق هندستها الأنيقة ومجموعات المواد مظهرًا عصريًا.","2020-10-21 07:25:54",product,https://shiaka-dev.com/ar/?post_type=product&p=12125,collar-type,,no,no,yes,,,952,collection-name,,no,no,yes,,"Rethobe Model 2196, Jeans blue Color",ar,"غير مصنف",color,,no,no,yes,,consignment,,no,no,yes,,generation,,no,no,yes,,item-type,,no,no,yes,,placket-shape,,no,no,yes,,placket-tpe,,no,no,yes,,pocket-shape,,no,no,yes,,prime-style,,no,no,yes,,size,,no,no,yes,,sleeves-type,,no,no,yes,,79,
12126,"تي شيرت كوبيه امينسي","<p>تعتبر عمليات الغسيل ذات درجة الحرارة المنخفضة ودورات العصر الدقيقة ألطف على الملابس ، مما يساعد في الحفاظ على لون النسيج وشكله وبنيته. في نفس الوقت يقلل من استهلاك الطاقة المستخدمة في عمليات الرعاية.</p><ul>
 	<li><strong>ترتدي العارضة</strong> : UK 10 / EU 38 / US 6</li>
 	<li><strong>المناسبة</strong> : نمط الحياة والرياضة</li>
 	<li><strong>دولة</strong> : ايطاليا</li>
</ul><ul><li><strong>الجزء الخارجي</strong> : جلد 100٪ ، بولي أميد 100٪</li><li><strong>البطانة</strong> : بوليستر 100٪</li><li><strong>CounSoletry</strong> : مطاط 100٪</li></ul>","مصمم للبساطة ومصنوع من مواد عالية الجودة. تخلق هندستها الأنيقة ومجموعات المواد مظهرًا عصريًا.","2020-10-21 07:25:54",product,https://shiaka-dev.com/ar/?post_type=product&p=12126,collar-type,,no,no,yes,,,947,collection-name,,no,no,yes,,"T-shirts Coupe Amincie",ar,"غير مصنف",color,,no,yes,yes,,consignment,,no,no,yes,,generation,,no,no,yes,,item-type,,no,no,yes,,placket-shape,,no,no,yes,,placket-tpe,,no,no,yes,,pocket-shape,,no,no,yes,,prime-style,,no,no,yes,,size,,no,no,yes,,sleeves-type,,no,no,yes,,45,
12135,"كلاركس للنساء ستيب كالي","<p>تعتبر عمليات الغسيل ذات درجة الحرارة المنخفضة ودورات العصر الدقيقة ألطف على الملابس ، مما يساعد في الحفاظ على لون النسيج وشكله وبنيته. في نفس الوقت يقلل من استهلاك الطاقة المستخدمة في عمليات الرعاية.</p><ul>
 	<li><strong>ترتدي العارضة</strong> : UK 10 / EU 38 / US 6</li>
 	<li><strong>المناسبة</strong> : نمط الحياة والرياضة</li>
 	<li><strong>دولة</strong> : ايطاليا</li>
</ul><ul><li><strong>الجزء الخارجي</strong> : جلد 100٪ ، بولي أميد 100٪</li><li><strong>البطانة</strong> : بوليستر 100٪</li><li><strong>CounSoletry</strong> : مطاط 100٪</li></ul>","مصمم للبساطة ومصنوع من مواد عالية الجودة. تخلق هندستها الأنيقة ومجموعات المواد مظهرًا عصريًا.","2020-10-21 07:25:54",product,https://shiaka-dev.com/ar/?post_type=product&p=12135,collar-type,,no,no,yes,,,953,collection-name,,no,no,yes,,"Alshiaka Zakhrafat Thobe cream color",ar,"غير مصنف",color,,no,yes,yes,,consignment,,no,no,yes,,generation,,no,no,yes,,item-type,,no,no,yes,,placket-shape,,no,no,yes,,placket-tpe,,no,no,yes,,pocket-shape,,no,no,yes,,prime-style,,no,no,yes,,size,,no,no,yes,,sleeves-type,,no,no,yes,,45,
12136,"حقيبة كروس صلبة","<p>تعتبر عمليات الغسيل ذات درجة الحرارة المنخفضة ودورات العصر الدقيقة ألطف على الملابس ، مما يساعد في الحفاظ على لون النسيج وشكله وبنيته. في نفس الوقت يقلل من استهلاك الطاقة المستخدمة في عمليات الرعاية.</p><ul>
 	<li><strong>ترتدي العارضة</strong> : UK 10 / EU 38 / US 6</li>
 	<li><strong>المناسبة</strong> : نمط الحياة والرياضة</li>
 	<li><strong>دولة</strong> : ايطاليا</li>
</ul><ul><li><strong>الجزء الخارجي</strong> : جلد 100٪ ، بولي أميد 100٪</li><li><strong>البطانة</strong> : بوليستر 100٪</li><li><strong>CounSoletry</strong> : مطاط 100٪</li></ul>","مصمم للبساطة ومصنوع من مواد عالية الجودة. تخلق هندستها الأنيقة ومجموعات المواد مظهرًا عصريًا.","2020-10-21 07:25:54",product,https://shiaka-dev.com/ar/?post_type=product&p=12136,collar-type,,no,no,yes,,,948,collection-name,,no,no,yes,,"Solid Crossbody Bag",ar,"غير مصنف",color,,no,yes,yes,,consignment,,no,no,yes,,generation,,no,no,yes,,item-type,,no,no,yes,,placket-shape,,no,no,yes,,placket-tpe,,no,no,yes,,pocket-shape,,no,no,yes,,prime-style,,no,no,yes,,size,,no,no,yes,,sleeves-type,,no,no,yes,,,
12139,"فورد موستانج بيرفورمانس ماء","<p>تعتبر عمليات الغسيل ذات درجة الحرارة المنخفضة ودورات العصر الدقيقة ألطف على الملابس ، مما يساعد في الحفاظ على لون النسيج وشكله وبنيته. في نفس الوقت يقلل من استهلاك الطاقة المستخدمة في عمليات الرعاية.</p><ul>
 	<li><strong>ترتدي العارضة</strong> : UK 10 / EU 38 / US 6</li>
 	<li><strong>المناسبة</strong> : نمط الحياة والرياضة</li>
 	<li><strong>دولة</strong> : ايطاليا</li>
</ul><ul><li><strong>الجزء الخارجي</strong> : جلد 100٪ ، بولي أميد 100٪</li><li><strong>البطانة</strong> : بوليستر 100٪</li><li><strong>CounSoletry</strong> : مطاط 100٪</li></ul>","مصمم للبساطة ومصنوع من مواد عالية الجودة. تخلق هندستها الأنيقة ومجموعات المواد مظهرًا عصريًا.","2020-10-21 07:25:55",product,https://shiaka-dev.com/ar/?post_type=product&p=12139,collar-type,,no,no,yes,,,957,collection-name,,no,no,yes,,"Ford Mustang Performance Eau de",ar,"غير مصنف",color,,no,no,yes,,consignment,,no,no,yes,,generation,,no,no,yes,,item-type,,no,no,yes,,placket-shape,,no,no,yes,,placket-tpe,,no,no,yes,,pocket-shape,,no,no,yes,,prime-style,,no,no,yes,,size,,no,no,yes,,sleeves-type,,no,no,yes,,129,111
12144,"وشاح بطباعة هندسية","تعتبر عمليات الغسيل ذات درجة الحرارة المنخفضة ودورات العصر الدقيقة ألطف على الملابس ، مما يساعد في الحفاظ على لون النسيج وشكله وبنيته. في نفس الوقت يقلل من استهلاك الطاقة المستخدمة في عمليات الرعاية.<ul>
 	<li><strong>ترتدي العارضة</strong> : UK 10 / EU 38 / US 6</li>
 	<li><strong>المناسبة</strong> : نمط الحياة والرياضة</li>
 	<li><strong>دولة</strong> : ايطاليا</li>
</ul><ul><li><strong>الجزء الخارجي</strong> : جلد 100٪ ، بولي أميد 100٪</li><li><strong>البطانة</strong> : بوليستر 100٪</li><li><strong>CounSoletry</strong> : مطاط 100٪</li></ul>","مصمم للبساطة ومصنوع من مواد عالية الجودة. تخلق هندستها الأنيقة ومجموعات المواد مظهرًا عصريًا.","2020-10-21 07:25:54",product,https://shiaka-dev.com/ar/?post_type=product&p=12144,collar-type,,no,no,yes,,,954,collection-name,,no,no,yes,,"Shemagh Alshiaka Prime cream",ar,"غير مصنف",color,,no,yes,yes,,consignment,,no,no,yes,,generation,,no,no,yes,,item-type,,no,no,yes,,placket-shape,,no,no,yes,,placket-tpe,,no,no,yes,,pocket-shape,,no,no,yes,,prime-style,,no,no,yes,,size,,no,no,yes,,sleeves-type,,no,no,yes,,50,23
12148,"ثوب الشياكة زخرفات موديل 7715","<p>تعتبر عمليات الغسيل ذات درجة الحرارة المنخفضة ودورات العصر الدقيقة ألطف على الملابس ، مما يساعد في الحفاظ على لون النسيج وشكله وبنيته. في نفس الوقت يقلل من استهلاك الطاقة المستخدمة في عمليات الرعاية.</p><ul>
 	<li><strong>ترتدي العارضة</strong> : UK 10 / EU 38 / US 6</li>
 	<li><strong>المناسبة</strong> : نمط الحياة والرياضة</li>
 	<li><strong>دولة</strong> : ايطاليا</li>
</ul><ul><li><strong>الجزء الخارجي</strong> : جلد 100٪ ، بولي أميد 100٪</li><li><strong>البطانة</strong> : بوليستر 100٪</li><li><strong>CounSoletry</strong> : مطاط 100٪</li></ul>","مصمم للبساطة ومصنوع من مواد عالية الجودة. تخلق هندستها الأنيقة ومجموعات المواد مظهرًا عصريًا.","2020-12-28 10:53:39",product,https://shiaka-dev.com/ar/?post_type=product&p=12148,collar-type,,no,no,yes,,,6782,collection-name,,no,no,yes,,"Alshiaka Zakhrafat Thobe Model 7715",ar,"غير مصنف",color,,no,no,yes,,consignment,,no,no,yes,,generation,,no,no,yes,,item-type,,no,no,yes,,placket-shape,,no,no,yes,,placket-tpe,,no,no,yes,,pocket-shape,,no,no,yes,,prime-style,,no,no,yes,,size,,no,no,yes,,sleeves-type,,no,no,yes,,110,77
12149,"مرحلة ما قبل المدرسة فليكس عداء","<p>تعتبر عمليات الغسيل ذات درجة الحرارة المنخفضة ودورات العصر الدقيقة ألطف على الملابس ، مما يساعد في الحفاظ على لون النسيج وشكله وبنيته. في نفس الوقت يقلل من استهلاك الطاقة المستخدمة في عمليات الرعاية.</p><ul>
 	<li><strong>ترتدي العارضة</strong> : UK 10 / EU 38 / US 6</li>
 	<li><strong>المناسبة</strong> : نمط الحياة والرياضة</li>
 	<li><strong>دولة</strong> : ايطاليا</li>
</ul><ul><li><strong>الجزء الخارجي</strong> : جلد 100٪ ، بولي أميد 100٪</li><li><strong>البطانة</strong> : بوليستر 100٪</li><li><strong>CounSoletry</strong> : مطاط 100٪</li></ul>","مصمم للبساطة ومصنوع من مواد عالية الجودة. تخلق هندستها الأنيقة ومجموعات المواد مظهرًا عصريًا.","2020-12-28 11:05:11",product,https://shiaka-dev.com/ar/?post_type=product&p=12149,collar-type,,no,no,yes,,,6790,collection-name,,no,no,yes,,"Rethobe by Alshiaka Model 2130",ar,"غير مصنف",color,,no,yes,yes,,consignment,,no,no,yes,,generation,,no,no,yes,,item-type,,no,no,yes,,placket-shape,,no,no,yes,,placket-tpe,,no,no,yes,,pocket-shape,,no,no,yes,,prime-style,,no,no,yes,,size,,no,no,yes,,sleeves-type,,no,no,yes,,42,
12150,"تي شيرت بياقة دائرية","<p>تعتبر عمليات الغسيل ذات درجة الحرارة المنخفضة ودورات العصر الدقيقة ألطف على الملابس ، مما يساعد في الحفاظ على لون النسيج وشكله وبنيته. في نفس الوقت يقلل من استهلاك الطاقة المستخدمة في عمليات الرعاية.</p><ul>
 	<li><strong>ترتدي العارضة</strong> : UK 10 / EU 38 / US 6</li>
 	<li><strong>المناسبة</strong> : نمط الحياة والرياضة</li>
 	<li><strong>دولة</strong> : ايطاليا</li>
</ul>
<ul>
 	<li><strong>الجزء الخارجي</strong> : جلد 100٪ ، بولي أميد 100٪</li>
 	<li><strong>البطانة</strong> : بوليستر 100٪</li>
 	<li><strong>CounSoletry</strong> : مطاط 100٪</li>
</ul>","مصمم للبساطة ومصنوع من مواد عالية الجودة. تخلق هندستها الأنيقة ومجموعات المواد مظهرًا عصريًا.","2020-12-28 10:17:25",product,https://shiaka-dev.com/ar/?post_type=product&p=12150,collar-type,,no,no,yes,,,6743,collection-name,,no,no,yes,,"Shemagh Alshiaka Prime Dark Red",ar,"غير مصنف",color,,no,yes,yes,,consignment,,no,no,yes,,generation,,no,no,yes,,item-type,,no,no,yes,,placket-shape,,no,no,yes,,placket-tpe,,no,no,yes,,pocket-shape,,no,no,yes,,prime-style,,no,no,yes,,size,,no,no,yes,,sleeves-type,,no,no,yes,,134,
12151,"قميص فيرساتشي ، أكمام تي شيرت دائرية ، 100٪ SUPIMA أجود أنواع القطن","<p>تعتبر عمليات الغسيل ذات درجة الحرارة المنخفضة ودورات العصر الدقيقة ألطف على الملابس ، مما يساعد في الحفاظ على لون النسيج وشكله وبنيته. في نفس الوقت يقلل من استهلاك الطاقة المستخدمة في عمليات الرعاية.</p>
          <ul>
 	<li><strong>ترتدي العارضة</strong> : UK 10 / EU 38 / US 6</li>
 	<li><strong>المناسبة</strong> : نمط الحياة والرياضة</li>
 	<li><strong>دولة</strong> : ايطاليا</li>
</ul>
          <ul>
            <li><strong>الجزء الخارجي</strong> : جلد 100٪ ، بولي أميد 100٪</li>
            <li><strong>البطانة</strong> : بوليستر 100٪</li>
            <li><strong>CounSoletry</strong> : مطاط 100٪</li>
          </ul>","مصمم للبساطة ومصنوع من مواد عالية الجودة. تخلق هندستها الأنيقة ومجموعات المواد مظهرًا عصريًا.","2020-10-21 07:25:56",product,https://shiaka-dev.com/ar/?post_type=product&p=12151,collar-type,,no,no,yes,,,968,collection-name,,no,no,yes,,"Versace Shirt, Circular Collarm T-shirt Sleeve , 100% SUPIMA Finest Cotton",ar,"غير مصنف",color,,no,no,yes,,consignment,,no,no,yes,,generation,,no,no,yes,,item-type,,no,no,yes,,placket-shape,,no,no,yes,,placket-tpe,,no,no,yes,,pocket-shape,,no,no,yes,,prime-style,,no,no,yes,,size,,no,no,yes,,sleeves-type,,no,no,yes,,1105,
